psgc_code,city_name,lat,lng
012800000,Ilocos Norte,18.1980,120.5946
012900000,Ilocos Sur,17.5750,120.3872
013300000,La Union,16.6167,120.3167
015500000,Pangasinan,15.9769,120.3333
020900000,Batanes,20.4500,121.9694
021500000,Cagayan,17.6167,121.7167
023100000,Isabela,17.1500,121.8000
025000000,Nueva Vizcaya,16.4833,121.1500
025700000,Quirino,16.5167,121.5167
030800000,Bataan,14.6833,120.4667
031400000,Bulacan,14.7919,120.8811
034900000,Nueva Ecija,15.4833,120.9667
035400000,Pampanga,15.0333,120.6833
036900000,Tarlac,15.4833,120.6000
037100000,Zambales,15.3333,120.0833
037700000,Aurora,15.7833,121.5333
041000000,Batangas,13.7500,121.0500
042100000,Cavite,14.2333,120.8667
043400000,Laguna,14.2667,121.4333
045600000,Quezon,13.9333,121.6167
045800000,Rizal,14.6000,121.1667
174000000,Marinduque,13.3833,121.9000
175100000,Occidental Mindoro,13.0833,120.7500
175200000,Oriental Mindoro,13.0333,121.2500
175300000,Palawan,9.7500,118.7500
175900000,Romblon,12.5833,122.2667
050500000,Albay,13.1500,123.7333
051600000,Camarines Norte,14.1167,122.7500
051700000,Camarines Sur,13.6167,123.1833
052000000,Catanduanes,13.5833,124.2500
054100000,Masbate,12.3667,123.6167
056200000,Sorsogon,12.9667,124.0000
060400000,Aklan,11.7000,122.3667
060600000,Antique,11.7500,122.0000
061900000,Capiz,11.5833,122.7500
063000000,Iloilo,10.7167,122.5667
064500000,Negros Occidental,10.6667,122.9500
067900000,Guimaras,10.5667,122.5833
071200000,Bohol,9.8333,124.1667
072200000,Cebu,10.3167,123.7500
074600000,Negros Oriental,9.3167,123.3000
076100000,Siquijor,9.1500,123.5833
082600000,Eastern Samar,11.6000,125.4333
083700000,Leyte,11.2500,124.5000
084800000,Northern Samar,12.5000,124.6333
086000000,Samar,11.7833,124.9167
086400000,Southern Leyte,10.3833,125.0000
087800000,Biliran,11.5667,124.4167
097200000,Zamboanga Del Norte,8.0000,122.8333
097300000,Zamboanga Del Sur,7.8333,123.2500
098300000,Zamboanga Sibugay,7.7667,122.6667
101300000,Bukidnon,8.1500,125.1167
101800000,Camiguin,9.2000,124.7000
103500000,Lanao Del Norte,8.2167,124.2500
104200000,Misamis Occidental,8.4333,123.8167
104300000,Misamis Oriental,8.5000,124.6500
112300000,Davao Del Norte,7.4500,125.8000
112400000,Davao Del Sur,6.7500,125.3500
112500000,Davao Oriental,7.2000,126.2167
118200000,Davao De Oro,7.5000,126.0000
118600000,Davao Occidental,6.0000,125.6000
124700000,Cotabato,7.2167,125.0333
126300000,South Cotabato,6.5000,124.8500
126500000,Sultan Kudarat,6.8333,124.6500
128000000,Sarangani,5.9000,125.2833
140100000,Abra,17.5981,120.6194
141100000,Benguet,16.4167,120.5833
142700000,Ifugao,16.8333,121.0833
143200000,Kalinga,17.4167,121.2500
144400000,Mountain Province,17.0833,120.9167
148100000,Apayao,17.8333,121.4167
160200000,Agusan Del Norte,8.9500,125.5333
160300000,Agusan Del Sur,8.5000,125.8333
166700000,Surigao Del Norte,9.7833,125.5000
166800000,Surigao Del Sur,8.7500,126.1667
168500000,Dinagat Islands,10.0000,125.5833
150700000,Basilan,6.5667,122.0333
153600000,Lanao Del Sur,7.9167,124.3000
153800000,Maguindanao,7.0000,124.4800
156600000,Sulu,6.0500,121.0000
157000000,Tawi-Tawi,5.1833,120.1667
